2021-01-11T02:17:05+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\wp-db.php, na linha 2056

2021-01-11T02:17:07+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\wp-db.php, na linha 2056

2021-01-11T02:17:08+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\wp-db.php, na linha 2056

2021-01-11T02:18:44+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\wp-db.php, na linha 2056

2021-01-11T02:18:44+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-content\plugins\ocean-extra\includes\custom-code.php, na linha 8

2021-01-11T02:20:30+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\wp-db.php, na linha 2056

2021-01-11T02:20:34+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\wp-db.php, na linha 2056

2021-01-11T02:20:34+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-content\plugins\ocean-extra\includes\metabox\butterbean\butterbean.php, na linha 19

2021-01-11T04:10:38+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\Requests\Transport\cURL.php, na linha 441

2021-01-11T04:43:34+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\Requests\Transport\cURL.php, na linha 163

2021-01-11T06:17:49+00:00 CRITICAL Maximum execution time of 30 seconds exceeded, em C:\Users\JuniorF\Documents\GitHub\My-First-ECommerce\wp-includes\Requests\Transport\cURL.php, na linha 441

